C,validation_log_loss,validation_auc,iterations
0.01,0.5085727716531888,0.6927881055855762,15
10.0,0.5085754810752259,0.6929246852745737,16
1.0,0.5085754907105997,0.692923441421426,16
0.1,0.5085756219453591,0.692910972394728,16
