issue_year,observations,defaults,bad_rate
2007,251,45,0.17928286852589642
2008,1562,247,0.15813060179257363
2009,4716,594,0.12595419847328243
2010,11536,1487,0.1289008321775312
2011,21721,3297,0.15178859168546568
2012,53367,8644,0.1619727546985965
2013,134804,21024,0.15595976380522833
2014,223103,41162,0.1844977431948472
2015,375546,75804,0.20185010624530683
2016,293105,68252,0.23285853192541922
2017,169321,39169,0.23132984095298278
2018,56318,8874,0.15756951596292482
