sample,score_mean,score_std,score_p05,score_p50,score_p95
train,474.6315842289333,58.78290190583127,371.2751968292328,477.1614184848944,569.6363994673059
validation,480.7534370363124,56.9979886353451,379.74726451691737,482.7542725600873,573.6693764300593
oot,483.570786336568,57.533622385434136,383.2938374363611,485.3530949867138,577.9736262323975
